power.draw [W], utilization.gpu [%], utilization.memory [%]
57.21 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.19 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.21 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.89 W, 0 %, 0 %
